Income,CreditScore,LoanAmount,Approved
121650,668,35012,0
159041,695,86114,0
119169,665,14814,1
33032,699,12324,0
32573,682,16870,0
136685,686,43116,1
72728,673,34580,0
57099,668,24298,1
36936,651,18227,0
43659,683,21408,0
40763,640,18769,0
41832,675,9847,0
36427,565,5549,0
67879,523,10151,0
42259,632,4483,0
34700,750,3206,1
48154,667,12549,0
66719,570,13010,0
51617,704,13210,0
36434,666,3933,0
71974,579,13144,0
121096,553,10772,0
97174,561,10893,0
39169,718,14371,1
74081,717,39890,0
129623,732,37576,0
66536,612,14362,1
74055,697,32226,0
59719,736,13067,1
84737,636,16273,1
82143,559,40890,0
56977,650,29775,1
59000,524,23284,0
79412,810,8482,1
55339,608,12243,0
89107,482,38113,0
51701,645,17444,0
113453,733,60135,1
75595,636,32394,1
92978,694,44987,0
91474,624,22036,0
58553,672,7919,0
69894,677,34285,0
72020,562,12672,0
58326,591,11236,0
174955,811,75576,1
87443,604,23996,0
65058,508,31901,1
175203,601,35559,1
60483,645,34941,0
87468,711,7918,1
45820,661,5305,1
70969,611,15975,0
45759,508,15989,0
59626,670,27169,0
76775,724,20422,1
187054,687,44735,1
48970,701,24120,0
64370,557,18569,0
44629,674,23767,1
39794,629,9720,0
44693,681,12071,0
65560,807,26820,1
103588,500,37654,0
93216,589,51337,0
46281,709,22954,0
67468,441,11388,0
71903,708,32299,1
107707,693,64789,0
40515,493,16392,0
24379,571,6714,0
172979,558,80662,0
132620,700,55902,0
116793,660,15393,1
76929,503,26163,0
69817,672,26377,0
24536,495,10632,0
227604,749,23469,1
31003,685,10011,0
151214,674,56592,0
38117,696,9792,0
159889,723,69594,0
53092,596,21604,0
132999,633,64707,0
47886,657,17327,0
74547,557,18286,0
98662,619,35743,0
91833,562,12744,0
92785,795,16215,1
22824,761,8391,0
108776,651,64130,0
118941,659,21917,0
58693,679,24638,1
72425,648,21081,1
73608,625,27519,0
59996,643,13556,1
64575,597,14244,0
87766,699,47049,0
72808,709,27571,1
137337,769,14303,0
78043,703,46288,0
62507,767,17798,0
56340,779,33557,0
57721,526,30999,0
61528,716,36963,0
42173,723,10589,0
80178,591,29219,1
96791,783,31663,1
34634,687,15209,0
54924,796,27416,0
73424,579,8702,0
156907,729,82613,1
39720,588,22065,0
74331,529,27019,0
46784,657,24750,0
29724,642,5953,0
111090,667,50317,0
57678,505,10795,0
83727,752,43094,0
33420,629,19342,0
59621,689,7476,0
70488,584,26102,1
88414,700,20137,1
73161,637,12026,0
38134,646,3915,0
109877,453,37595,0
65524,597,9606,0
40483,545,15646,0
59895,642,18877,0
60585,719,18183,0
23522,794,10645,1
73512,686,8846,0
134002,460,42107,0
31699,727,14853,0
94986,605,34820,0
163182,539,13132,0
128054,627,34318,0
156536,735,46456,0
51189,557,5085,0
24228,686,4401,0
61824,603,9411,0
72239,654,31168,0
90218,835,56072,0
134238,711,30222,0
96467,696,46552,0
114062,695,65909,0
81708,641,31885,0
84113,757,31081,0
142712,667,13507,1
63109,674,11759,0
26325,602,8801,0
63198,737,29316,0
90496,676,22136,1
61637,633,27660,0
57596,682,20557,0
44294,832,10787,0
99587,704,14474,0
52813,514,7153,0
63568,529,26855,0
63503,749,23626,0
56516,755,9295,1
61282,592,20187,0
60636,765,15312,1
64450,586,26244,0
48110,755,29239,0
39789,615,5876,0
99099,619,24646,1
57204,617,31915,0
36457,606,3652,1
81893,664,19712,0
67048,681,26048,0
64067,785,13687,1
78575,465,39489,0
52532,647,14252,0
137163,605,65666,0
77998,646,9146,1
39230,601,3425,1
49761,714,16494,1
39845,751,14668,1
55427,719,14285,0
48944,600,15661,0
45652,521,17855,0
129780,641,58560,0
68099,615,21484,1
77861,664,37897,0
105878,696,40421,0
127579,737,51097,0
41318,654,17196,0
40750,695,22459,0
69186,574,27141,0
94861,693,47990,0
143979,646,71042,0
88821,707,16235,1
61331,663,7031,1
116390,675,41520,0
36143,703,14093,0
99246,609,15596,0
80708,670,39560,0
67978,577,34546,0
72295,795,27268,1
70538,592,13077,0
83631,602,33085,0
84285,646,19007,0
69298,780,12540,1
34258,708,16963,0
72045,713,24424,0
81376,660,32287,0
33798,599,12620,0
46307,660,6771,0
86580,542,9140,0
80072,673,11578,1
45846,737,14991,0
35020,733,16671,1
71664,602,29155,0
82488,729,40689,0
42239,678,17224,0
44510,540,6272,0
82276,518,34096,0
120275,796,25357,1
70780,620,6565,1
48111,567,12205,0
56030,696,5724,0
115516,626,30545,1
43077,744,5314,0
122016,688,64929,1
51120,629,27268,0
144932,757,63120,1
81584,650,32345,0
56238,689,31459,0
25172,640,7734,0
119892,676,36544,1
44601,762,10104,1
33078,739,16493,0
65745,813,34998,0
38915,678,18623,1
37893,563,17803,0
61995,625,6180,0
62760,729,13804,1
51791,672,5767,0
51725,640,25179,0
69119,713,25375,0
53509,598,5227,1
182614,675,34625,1
61053,581,29327,0
74639,679,38314,0
63717,726,20002,1
47250,640,21912,0
27973,631,5892,1
86774,617,30630,0
74658,707,45440,1
77147,651,38065,0
112407,472,41012,0
36839,510,14568,0
52950,630,14567,1
47815,724,5519,1
51365,680,9310,0
77512,709,43772,0
62311,610,10286,0
32719,490,10239,0
67503,671,11322,0
72486,663,40551,0
34015,651,13139,0
96201,552,14473,1
95573,514,48641,0
100651,512,14371,0
47492,594,25402,0
59206,721,18910,1
53496,566,6763,0
99539,664,12921,0
26539,688,14519,0
90845,672,35733,0
86631,755,47240,0
43942,611,9282,0
95861,636,51275,0
45883,668,24876,0
69530,624,38009,0
146384,675,60772,1
166051,754,40287,1
57681,598,12262,0
33275,640,3032,0
115685,675,55063,0
55523,713,21608,0
40986,713,15068,0
135686,688,45451,0
92413,694,35664,0
71950,634,35928,0
133536,700,36600,0
98502,802,47912,1
29514,649,15833,0
42405,706,22096,1
50871,688,8258,1
41211,698,9816,1
70893,660,8392,0
56646,648,8472,1
73252,521,27309,0
109917,618,13582,1
209356,639,83556,0
71294,518,13888,0
52645,618,15898,0
56882,675,14858,1
42571,630,5957,0
111061,757,38586,1
83118,691,37130,0
75549,696,36841,0
46742,569,13034,0
35842,645,4072,0
76826,722,12363,1
70102,630,19043,0
152014,720,58030,1
64868,664,6086,0
50446,593,13132,0
20598,532,4624,0
24259,593,11528,0
39388,743,21468,0
52712,558,5638,0
46865,653,20475,0
47082,675,8314,1
40735,621,11534,0
75021,570,9867,1
77771,510,24218,0
68566,794,20955,1
31874,575,13531,0
34815,642,19426,0
99007,727,22619,1
31277,647,6281,0
63632,593,17237,0
29725,732,17978,0
56617,586,8063,0
96053,644,50614,0
60083,577,14744,0
25646,731,8370,0
90979,762,38694,0
36736,634,17314,0
49081,572,15565,1
123008,554,32151,0
34691,626,3983,0
74353,543,14645,1
45253,751,23289,0
91366,671,14693,0
152940,532,40629,0
97353,639,16700,1
47134,674,16999,0
27962,604,5316,0
67730,601,32183,0
39632,534,5904,0
65347,736,33731,0
56572,563,18522,0
170598,850,46638,1
37713,739,8897,0
41486,682,19163,0
88542,657,18955,1
86143,679,32614,1
83153,697,24223,0
143264,740,52112,1
143844,641,24382,1
55636,774,20421,0
87703,759,45771,0
59476,704,16801,0
41144,681,23212,0
73221,627,23770,0
74448,648,17978,0
97722,655,18223,0
59383,631,15993,0
73377,663,32033,0
60833,657,5644,0
102794,678,53264,0
48347,667,24079,0
29233,739,14627,0
66172,603,30591,0
57662,639,20348,0
72694,690,29159,0
68122,565,26270,0
69766,618,27987,0
97872,556,34459,0
89308,760,48900,0
92539,655,53720,0
105650,662,16599,1
62119,576,18888,0
105411,823,18060,1
93642,742,50038,0
42147,714,16817,0
61198,764,16618,0
52828,789,30326,0
33017,646,16499,0
47675,690,24736,0
83211,673,43154,0
156825,616,14586,0
37087,793,11770,0
62465,577,9227,0
63195,700,16348,0
33551,732,19788,0
29586,639,4542,0
20000,596,10682,0
53813,715,20645,0
112196,675,60628,1
84909,662,45284,0
20591,678,10176,1
69507,678,21390,0
34682,656,20324,0
65984,588,14844,0
34238,625,10859,0
98785,616,20853,0
92245,671,42516,0
103596,704,52556,0
78382,716,17577,1
50073,609,8705,0
145562,616,43726,0
95843,680,34435,0
44198,619,4575,0
38528,850,23060,0
65376,634,37150,0
121118,695,19317,1
51587,588,15396,0
37775,599,9871,0
49237,602,23994,0
68148,654,22855,0
110781,614,42105,0
53874,756,6473,0
84843,610,16872,0
43962,681,6895,0
32356,650,12008,0
46318,677,6672,1
79981,635,41913,0
95121,644,37649,1
63379,756,29698,0
61069,757,24889,0
79981,600,7041,0
108343,534,47332,0
71012,645,38555,0
115047,532,60960,0
84751,545,21798,0
42398,674,24585,0
76918,661,22171,0
30659,632,3277,0
44326,566,9285,0
86990,626,49002,0
64261,746,34870,1
54855,555,6344,0
57368,546,29014,0
33674,661,6100,0
78112,674,38325,0
53921,645,25330,0
124770,656,26085,1
58445,763,14206,0
56705,780,35914,0
128044,743,17571,1
73679,534,11681,1
103023,576,48051,0
41889,514,13414,0
61537,750,5630,1
40153,666,6791,0
68183,479,8315,0
80191,729,22127,0
103132,751,47210,0
51895,586,16949,0
52128,737,13354,0
85778,699,38906,1
68009,850,19558,1
74832,723,30470,1
68930,734,27440,0
89862,618,50298,0
65845,651,7447,0
78733,605,30734,0
34943,682,8036,0
52342,697,8189,0
66419,486,16025,0
29988,738,2915,1
50639,632,25781,0
95392,564,40532,1
83115,706,9406,1
31140,688,15975,0
87226,689,23671,0
33126,577,4829,1
74007,735,35765,0
51126,574,25373,0
97932,746,22643,0
184671,740,23254,1
35568,666,5227,0
65086,602,23190,0
116439,653,32545,0
66013,492,16043,0
32466,647,9987,0
71805,760,15231,1
54625,681,8552,0
42743,683,6967,1
60020,683,25447,0
52565,589,21696,0
68433,833,30136,0
48576,634,24037,0
83063,646,21268,1
58225,700,21214,1
51565,704,11030,1
67495,525,17142,0
53830,627,19647,0
51182,485,17623,0
88964,672,36621,0
56413,490,13925,0
102387,742,36638,0
42464,608,9406,1
53642,490,18185,0
55177,614,13937,0
72516,741,21860,0
44999,614,25557,0
45315,709,13124,0
70818,645,38001,0
92206,624,40673,1
69427,709,34075,0
76566,780,45321,1
40864,599,14369,0
103410,689,60794,0
111481,709,62598,0
20000,584,2120,0
74159,558,28927,0
29853,694,15299,0
60121,503,20683,0
54977,614,29330,0
150114,657,74774,0
48564,638,4753,1
90841,631,13505,1
43038,686,4359,1
100047,637,39930,1
48623,600,7716,0
26534,601,10016,0
218521,665,98855,0
22329,583,8967,0
50799,568,14934,0
39396,551,14548,1
53213,595,26001,0
49421,501,13561,0
129191,670,75553,1
35170,663,17121,0
65339,694,9089,1
73642,592,9316,0
146290,542,29846,0
98288,697,25189,0
45327,701,20273,0
66158,640,30657,0
77855,592,39056,0
117814,552,30616,0
33981,695,18774,0
59921,617,7016,0
67212,615,9117,1
63951,570,31542,0
119134,644,49689,0
56069,661,6474,0
76602,690,21176,1
152137,575,15776,1
84650,752,24373,1
78079,607,28251,0
52528,824,7641,1
71156,669,17823,0
56808,648,8791,1
61216,650,5714,0
74012,646,17783,0
81214,618,24110,0
55438,604,20027,0
49973,589,16046,0
28779,655,11966,0
68410,610,24073,0
55010,758,14727,1
119312,720,22048,1
98203,479,32622,0
121548,814,59254,1
56551,599,23104,0
54353,689,21401,0
96713,584,9557,0
35402,744,9860,0
63468,636,23332,0
123233,447,15309,0
74343,632,13947,0
84053,600,14370,0
47603,606,10984,0
131786,676,73297,0
72338,612,38958,0
60488,714,15847,1
85442,649,45933,0
21203,679,8257,0
33077,688,10592,0
44249,603,18353,0
68708,714,21227,0
49442,670,29222,0
72676,503,14711,0
132131,629,19690,0
36760,714,20573,0
34218,668,16644,0
61767,675,13104,1
48058,620,11295,0
32353,522,4698,0
57138,593,7933,0
52679,711,21057,1
77114,581,37653,0
70065,709,28507,0
48715,491,10423,0
52275,696,19284,0
99183,677,17975,0
29122,747,5669,1
43041,762,19121,1
44598,572,18515,0
41493,607,20415,1
97294,728,23136,0
84167,591,34107,0
24795,700,12411,0
121177,669,27836,1
24131,634,11195,0
73621,525,10533,0
49753,648,5961,0
81792,734,27123,0
38265,554,8831,0
40462,570,10501,1
39551,667,6865,1
68832,513,35606,0
62312,719,15138,0
57127,765,8363,0
92723,625,12715,0
114310,703,65144,1
51326,486,7576,0
75570,611,38798,0
33502,682,14773,0
85795,556,17356,0
63073,527,7267,0
30849,689,18081,1
80315,649,43972,0
111964,626,48067,0
149240,590,57301,0
49192,730,23522,0
42005,656,21835,0
45229,664,19529,0
48889,662,16692,0
66033,642,16594,0
133548,586,33656,0
92899,712,41378,0
175652,565,31907,0
72586,714,15323,1
120648,662,32402,1
37427,607,9553,1
85648,595,45853,0
54400,569,28571,0
84748,688,40531,0
56859,703,18731,0
41386,706,17987,0
36885,544,8808,0
67071,618,12439,1
106974,639,11288,1
77694,638,38470,0
56494,608,23134,0
92536,714,34189,0
81691,581,19629,0
39683,636,19981,1
85709,688,48530,0
64699,509,20655,0
152744,667,22478,1
43284,694,19819,0
45694,743,5693,1
78152,660,35790,0
137036,615,69827,0
51312,564,28159,0
76500,707,13202,0
33366,793,10812,1
77403,704,6941,1
67488,529,5498,0
55218,743,12176,0
32115,737,5654,1
86776,612,40565,0
35128,572,16771,0
37098,633,19622,0
65755,578,11871,0
49018,512,15336,0
83576,596,29463,0
31888,666,15602,0
37824,726,13519,0
56337,705,26614,0
34122,617,18742,1
127660,527,33166,0
55315,582,4723,0
67168,722,29111,0
112760,570,31407,0
65179,667,37846,0
139597,589,56368,0
87094,634,24400,0
116391,616,59804,0
40903,680,7858,0
125835,685,50032,0
61141,707,9775,0
59914,565,33481,0
57317,703,19513,0
71949,610,15056,0
80348,756,24794,1
67346,697,9869,1
48117,512,24812,0
53917,663,15095,0
67343,617,16186,0
31803,703,8218,1
48084,506,13944,0
43250,783,8219,1
43664,704,21365,1
128594,691,14037,1
86036,753,18742,1
57549,649,15016,0
51178,615,28561,0
32538,626,9275,0
131776,526,50181,1
114085,625,53123,0
58586,742,31614,0
57538,564,24535,1
37197,649,10958,0
91085,679,18739,0
32185,625,3413,0
123096,680,29758,1
75698,584,23759,0
60605,694,24431,0
35596,632,14739,0
31481,576,10796,0
46536,659,18186,0
49755,791,30980,0
81464,655,13859,0
88378,551,46167,0
89303,498,44789,0
78739,721,29220,0
48172,758,12694,0
68361,595,28390,0
82548,618,23530,0
52659,674,13631,1
55227,664,17363,0
59221,605,9048,0
70908,596,31230,0
98413,611,47306,0
46893,700,26085,0
50551,598,7287,0
78701,639,32109,0
124184,733,46325,1
100624,670,33133,1
101627,639,17906,0
52020,675,22121,0
91469,681,12762,0
38374,566,11923,0
114523,642,31556,1
116130,569,13127,0
44861,566,22756,0
47507,599,17312,0
76643,557,23728,0
67082,631,36829,0
27019,575,9011,0
45302,631,10098,0
88079,651,37334,0
72834,489,24288,0
41187,597,22439,0
39722,724,15764,0
147586,731,77223,1
70878,532,35810,0
47375,591,25254,0
193462,835,40735,1
119048,579,14558,0
74397,708,26112,0
88097,699,52851,0
67740,678,37729,0
126164,747,49986,0
103376,542,36454,0
143257,674,19020,0
48575,780,24297,0
58309,663,10824,0
44244,539,15727,1
138626,781,35974,1
55257,477,22343,0
31451,712,16864,0
38446,531,18908,0
80096,712,36315,0
64693,679,18987,0
66222,603,13379,0
99170,629,35293,0
59698,729,13124,0
43903,627,7776,0
49778,640,7590,0
43980,630,13741,0
68998,657,6110,0
46703,577,12343,0
60592,850,21599,0
74073,823,29057,0
112428,630,63492,1
86728,850,14947,0
58387,732,8417,0
83389,614,28764,0
91789,738,36294,1
64682,606,29422,0
136922,648,23713,1
86164,644,33932,0
50043,685,22590,0
101499,641,54106,0
64175,662,37085,0
163058,640,82488,0
161180,712,31888,1
66231,664,22344,0
54639,702,11480,0
93726,637,46872,0
99428,624,55365,0
46656,624,10068,1
40154,624,20732,0
88734,612,23015,0
104280,682,39390,1
41302,599,20404,0
33683,625,13460,0
99357,627,31417,0
91862,642,47744,0
49266,436,5385,0
54200,636,28733,0
44443,707,6442,0
55417,630,17811,0
50405,602,8396,0
90499,663,26867,1
69605,808,43321,0
32057,635,4261,1
34412,639,19579,1
60154,756,6603,1
48422,717,18042,0
31584,732,11118,1
148028,577,68728,0
45321,719,15322,1
50693,469,5111,0
184586,615,97749,0
29792,777,2998,1
38097,651,17351,0
99616,609,23291,0
100674,694,19711,1
76962,744,10839,0
63403,515,26184,0
51310,680,7429,1
31764,794,12294,0
68504,769,34302,0
77616,577,22394,0
37993,694,22984,0
65014,634,29851,0
39055,654,20065,0
61786,549,27361,0
36120,720,17081,1
45959,661,15861,0
46241,743,27938,0
52455,648,6238,1
94081,640,52293,0
49425,633,10101,1
83430,576,47034,0
100872,652,50440,0
60941,545,26287,0
72468,632,28483,0
73347,528,16137,0
121508,593,24573,1
137891,657,59654,0
100227,600,26458,0
65261,569,35490,0
20000,721,5193,1
60646,655,15084,0
72588,548,35533,0
146882,592,50719,1
69578,598,26065,0
68179,576,7896,0
55580,673,22934,0
38328,814,6991,1
68999,541,36068,0
212852,615,29912,1
62890,724,6413,1
71800,677,23116,1
128050,747,20303,1
115296,842,33739,1
76473,579,24670,0
83483,635,41095,0
38321,713,6973,1
95837,638,47756,1
74860,738,36287,0
27795,654,9300,0
40894,573,11413,0
81027,691,26324,0
68159,629,17691,0
59350,579,8606,0
105825,687,43281,0
138197,603,50692,0
58178,686,20386,0
63817,644,10124,1
52456,543,13588,0
96541,710,21322,0
54700,609,30678,0
51092,629,25148,0
64568,562,19556,1
77037,621,15100,0
101588,739,48219,0
27346,548,9159,0
37609,794,20309,0
48499,667,25894,0
76858,666,40425,0
58205,604,26096,0
64815,631,17941,0
77164,499,21852,0
192035,681,43999,0
63586,660,8938,0
103558,543,28613,0
28486,673,8126,0
94122,650,32152,1
136114,626,54549,0
52783,688,10238,0
41267,652,18256,1
136009,586,45704,1
38418,522,16658,0
41282,664,18058,0
201090,661,77382,0
44596,686,11690,1
60611,684,32220,0
72651,635,18954,0
65026,580,25816,0
29439,751,17843,0
98023,765,10995,0
90807,512,18067,0
80884,604,24084,0
107546,649,16921,1
200967,496,98039,0
99130,513,51667,0
108578,807,47288,0
70732,705,14384,1
97748,580,46493,0
50840,630,16374,0
110172,671,31401,1
80811,563,39905,0
67825,497,15424,0
97529,592,55260,0
117971,650,35372,0
54053,586,28436,0
67548,756,22416,0
85474,543,26958,0
57317,580,28371,0
191055,598,51678,1
96188,663,44392,0
93486,610,24311,0
104073,660,28074,0
94918,775,33483,0
42438,646,10184,0
50657,698,12990,0
69881,575,31672,0
206715,688,73151,1
35631,620,7426,1
78546,673,9546,0
46156,732,21886,0
56998,716,11590,0
184730,728,75774,1
74527,636,25843,0
76904,817,36825,0
86807,640,30239,0
96911,664,36848,0
109825,698,24350,1
32537,587,7768,0
93696,715,24983,1
61629,590,26211,1
111594,679,21763,1
104852,688,20350,1
134985,548,72822,0
56563,656,28830,0
67832,666,20543,0
42676,681,24789,0
67811,709,30036,0
85309,642,26574,0
84053,722,41923,0
53162,612,9300,0
57500,753,10155,1
39805,739,19262,0
56295,726,23225,0
41507,579,7802,0
24849,737,9369,1
56901,645,6235,0
70802,706,21761,0
55535,706,29891,0
71301,649,6956,0
65629,550,14678,1
125334,715,70506,0
42071,761,4630,1
104259,668,9391,1
57958,698,29446,0
93109,686,50581,0
53932,644,24064,0
45560,555,15834,0
49155,647,23402,0
58951,642,20932,0
98181,654,40455,1
80547,669,39027,0
26528,632,10347,0
43816,678,10762,0
52090,731,28548,0
109448,530,13736,1
59567,834,13301,1
46029,788,11155,1
84607,599,45008,0
58581,652,21920,0
96949,633,21232,0
52214,642,22566,0
55140,624,12074,0
33412,694,17485,0
37684,684,12235,1
23943,563,11794,0
32595,738,15189,0
91217,771,37506,0
109248,595,37988,0
56245,674,10906,1
34952,606,12501,0
48800,714,22643,0
106080,674,57154,0
65809,641,32994,0
111218,558,32204,0
30515,619,11398,0
53643,673,26054,0
79312,611,12861,1
40566,627,14192,0
48183,731,18400,1
73584,644,41255,0
49607,627,18853,0
82311,745,24753,0
61800,603,30328,0
56912,685,6941,0
72970,653,33448,1
46081,679,8768,0
43488,619,16402,0
38062,657,3998,0
23760,649,2695,0
103933,509,18660,0
69885,678,9326,0
153743,703,67440,1
92581,640,51369,0
54042,656,16556,1
50267,556,10958,0
48874,781,16998,0
67279,503,6250,0
48128,731,11763,0
39975,624,9882,0
66050,662,39180,0
64275,674,11601,0
52658,709,13131,0
34035,663,16447,0
65081,718,14533,0
57086,672,21274,1
77484,616,26256,0
38649,656,9956,0
21662,649,7116,0
43024,638,16372,1
112653,715,23040,1
47150,601,18587,0
48506,787,29786,0
47258,592,16391,0
146806,694,79646,0
57391,618,11470,0
53027,583,20003,1
34930,690,18269,1
66296,629,28642,0
99309,636,28904,0
49159,703,11177,0
65588,564,26237,1
50809,715,28145,0
42945,753,18669,0
95574,521,27693,0
60714,657,30079,1
63178,538,17394,0
144133,598,47463,0
48169,508,10789,0
78525,741,36082,1
84311,757,42277,0
68890,647,19449,1
105149,632,59391,0
115038,659,45827,0
72632,561,11445,1
26484,776,13530,0
130767,623,64392,0
47752,645,21320,0
99989,668,58221,1
70407,624,27286,0
36046,777,6837,0
100910,708,40916,1
29137,651,14434,0
132590,663,60284,1
55538,623,4844,0
105114,657,56050,0
75931,686,36857,0
223839,631,19157,0
82588,623,9203,0
31666,799,6495,1
69233,691,38203,0
47029,739,20507,0
37389,618,13864,0
74759,591,8929,0
56179,662,8060,0
40199,640,4096,1
59251,658,29255,0
53991,695,10859,0
50012,609,19980,0
71457,642,12509,0
40724,651,17010,0
78945,638,10284,0
124673,658,26453,1
135546,536,55717,0
43646,728,3937,0
50366,736,22950,1
44830,745,14209,0
32428,583,17456,0
91947,677,49333,0
42671,633,14240,0
35678,570,9961,0
35777,524,19033,0
70107,679,27027,0
56841,774,9387,1
40400,544,10635,0
54222,728,6947,1
144582,655,25380,0
75037,738,44646,0
26845,598,11871,0
55423,630,9871,0
60418,570,12108,0
84916,678,15661,0
60148,737,34028,0
31899,649,15473,0
151581,622,78231,0
69239,687,35024,0
31120,684,11425,1
75784,563,20074,0
73417,538,12194,0
40174,571,15036,0
73865,658,40260,0
136637,779,80942,0
52409,631,27421,0
76482,725,23308,1
68144,618,38706,0
104946,655,22189,0
64475,643,10799,1
43159,615,12250,1
64623,595,25611,0
116360,655,43884,0
46265,681,23898,0
43004,599,4427,0
46004,655,27137,0
59510,710,18689,0
119201,650,17963,1
170455,585,78297,0
118132,662,68842,0
68004,642,38963,1
112521,723,31028,1
41040,632,10055,0
33724,515,12347,0
36352,670,12279,0
20651,639,1891,0
108173,673,19262,0
43913,558,19621,0
31310,731,9423,0
89793,602,8412,0
67439,605,16817,0
48372,742,22620,1
48170,643,5459,1
111024,611,55787,0
65384,659,7052,0
76046,571,41625,0
24346,770,13050,0
43300,729,23457,0
59136,619,14889,1
42152,702,7814,1
73405,627,31173,0
43690,729,17775,0
35399,615,19728,0
81553,766,41433,0
85346,646,31874,0
71990,511,32067,0
59107,621,32014,0
46119,556,10350,0
63456,600,17338,0
32354,667,9286,1
56390,672,25955,0
27289,651,6005,1
67620,713,26970,0
73678,573,10829,0
43607,659,11963,0
71683,567,9701,0
43653,763,14105,1
113073,686,57350,0
51490,730,20687,1
37405,454,18880,0
50767,611,4663,0
98581,647,25704,0
56938,718,25566,1
64340,575,15036,0
44722,685,13655,0
20510,596,3248,0
32921,722,6391,1
56421,662,23063,1
64837,589,19227,1
44237,682,5574,1
51114,639,29157,0
57932,767,30669,0
131790,763,20797,0
26209,690,9401,0
59181,575,20640,0
45834,787,10846,0
60718,764,7170,1
29745,655,9754,0
95954,650,39312,0
33789,658,10316,0
94151,519,13286,0
96157,667,10290,0
105057,661,58911,0
59984,513,21226,0
39797,664,6670,0
146770,824,17711,1
36492,648,4327,0
22937,850,8881,1
47400,595,16079,0
53660,564,6529,0
76893,522,21952,0
95795,757,19105,0
56558,680,19242,0
51038,487,20224,0
21682,648,10622,1
68173,632,18657,1
72290,586,28064,0
130318,649,63124,0
37637,708,18232,0
59060,588,15530,0
103249,727,22608,1
130504,772,37188,0
97034,706,29411,1
70247,634,26845,0
40589,670,19471,0
213490,748,100032,0
70564,555,20058,0
74431,582,17423,0
94675,687,46112,0
50516,785,10801,1
178692,544,70138,0
54027,627,29635,0
41609,638,21785,0
36391,428,11172,0
105499,730,18488,1
61181,497,18564,0
101651,683,32422,0
73436,629,30256,0
49883,760,31015,0
97571,685,27131,1
101909,503,20694,1
86505,616,36620,0
83957,690,17839,1
203800,756,35426,1
58590,673,14758,0
114774,675,33859,1
64496,713,31096,0
64640,628,36548,0
61607,736,16577,0
56507,679,8781,0
53856,610,8592,0
94784,703,46336,0
63056,740,12456,1
27028,764,8415,1
106768,631,36347,0
56754,816,24570,0
33319,778,14607,0
62669,660,32256,0
72860,687,12128,1
45038,593,9665,1
56121,685,15823,0
47386,770,29530,0
64759,660,6209,1
187972,706,21089,1
61034,606,24601,0
41082,610,5262,0
90128,620,45156,1
45962,703,5045,1
114078,559,34306,0
47987,667,14555,0
125960,653,44037,0
95522,655,39203,0
141964,634,23352,0
52835,746,14945,0
129185,690,43393,0
56203,718,16336,1
79668,579,20844,0
80578,562,35986,0
65046,694,17903,0
44274,709,17649,1
60453,731,12467,1
60176,740,23953,0
95420,608,9669,0
92710,562,44043,0
101401,544,34610,0
76955,686,38093,0
54287,428,24924,0
71832,615,22082,0
66109,730,7970,1
111847,685,19448,0
47966,573,16048,0
59275,644,22748,0
113374,604,14369,0
67840,600,24470,0
66910,579,22004,0
128054,545,39876,0
45312,670,6672,0
37596,646,5994,0
52134,657,23139,0
144200,710,58552,0
32570,550,15949,0
44923,676,14174,0
54769,664,23065,0
41025,507,15188,0
94002,708,39902,0
86039,610,38512,0
81498,719,29055,1
110317,670,26946,0
45253,666,11353,1
29179,757,8820,0
66860,754,37527,0
62220,675,33513,0
75761,592,42288,0
43049,645,24323,0
42367,694,8523,0
168279,699,45862,0
45703,738,20356,0
42750,789,26409,0
68676,492,26111,0
49332,588,24550,0
39050,643,14769,0
32638,557,5869,0
54903,649,8093,0
73479,697,31245,0
62543,741,19772,0
80440,602,28449,0
52548,535,5648,0
88401,665,29546,0
83572,704,36295,0
76566,704,22098,0
57709,739,35538,0
101326,737,52731,0
26492,709,10487,1
95996,642,29284,0
44791,573,5690,0
74109,746,31826,1
58665,694,12611,0
40016,658,11467,0
91565,700,13322,1
64405,522,11654,0
91209,711,37289,0
70117,609,12173,0
29047,674,3196,1
93042,592,51774,0
56711,641,31483,0
42782,600,13632,0
98038,734,21349,1
48208,650,13324,0
25399,670,5584,0
60778,677,23657,0
54211,570,6899,0
142203,652,48256,1
94206,681,18204,1
43413,643,12703,0
83443,628,34944,0
53284,656,13504,0
76274,660,43027,0
60046,623,24345,0
29425,711,4090,0
35061,757,3889,1
31634,637,18253,0
95225,644,43553,0
46929,850,10649,0
27751,704,3139,1
74196,596,7842,1
84968,562,19366,0
43620,672,12232,0
85322,692,39820,0
100544,642,23939,0
29362,688,11802,0
66064,636,29725,0
53393,773,18024,0
134339,655,48936,0
40558,760,8763,1
89366,682,51882,0
27910,716,6401,0
58771,686,20613,0
59284,502,11910,0
56836,718,9822,0
111509,556,47241,0
48886,613,13932,0
130124,540,64909,0
46504,757,13925,0
63519,583,19309,0
98678,659,55539,0
70060,709,21913,0
54377,626,21867,0
145692,731,73716,1
85012,778,31612,1
63060,745,6493,0
62930,606,30910,1
33142,658,9970,0
75086,611,33362,0
120174,636,22032,0
96152,693,50139,0
48681,748,13367,1
96794,682,54749,0
128215,676,11918,1
72809,529,9542,0
83754,445,17149,0
77005,614,40245,0
46693,582,4588,0
40781,653,11773,0
69838,632,26311,0
42801,642,13884,0
